,Kykes_score,Ian_score,Round
0,27,35,0
1,24,28,1
2,55,41,2
3,38,60,3
4,34,31,4
5,45,42,5
6,84,32,6
7,94,54,7
8,73,41,8
9,35,30,9
10,67,42,10
11,23,39,11
12,31,34,12
13,46,52,13
14,34,66,14
15,57,95,15
16,30,37,16
17,52,39,17
18,31,78,18
19,14,62,19
20,24,27,20
21,22,18,21
22,7,24,22
23,51,42,23
24,13,52,24
25,47,85,25
26,29,78,26
27,39,14,27
28,47,15,28
29,42,37,29
30,37,26,30
31,16,33,31
32,24,30,32
33,23,33,33
34,110,32,34
35,26,26,35
36,23,7,36
37,14,128,37
38,23,45,38
39,44,42,39
40,16,23,40
41,42,42,41
42,78,73,42
43,18,20,43
44,97,24,44
45,39,61,45
46,37,66,46
47,10,15,47
48,29,27,48
49,22,48,49
50,27,35,50
51,50,30,51
52,41,45,52
53,100,55,53
54,43,37,54
55,96,29,55
56,79,45,56
57,37,37,57
58,68,24,58
59,44,20,59
60,53,43,60
61,46,18,61
62,46,48,62
63,85,24,63
64,53,33,64
65,56,14,65
66,15,38,66
67,40,58,67
68,26,72,68
69,43,13,69
70,42,35,70
71,80,13,71
72,15,14,72
73,17,22,73
74,33,41,74
75,20,49,75
76,25,40,76
77,33,35,77
78,45,25,78
79,60,38,79
80,32,51,80
81,28,15,81
82,41,18,82
83,34,43,83
84,36,30,84
85,40,52,85
86,37,11,86
87,47,38,87
88,27,14,88
89,43,4,89
90,8,56,90
91,57,18,91
92,34,30,92
93,79,50,93
94,21,98,94
95,42,25,95
96,48,3,96
97,49,28,97
98,44,68,98
99,17,45,99
100,24,41,100
101,56,24,101
102,36,49,102
103,45,33,103
104,21,50,104
105,9,13,105
106,82,25,106
107,14,19,107
108,18,68,108
109,27,32,109
110,37,38,110
111,34,34,111
112,39,27,112
113,36,52,113
114,22,33,114
115,70,39,115
116,28,61,116
117,44,95,117
118,23,28,118
119,54,30,119
120,22,54,120
121,21,45,121
122,48,11,122
123,46,25,123
124,40,15,124
125,32,37,125
126,33,45,126
127,22,25,127
128,27,43,128
129,90,48,129
130,25,57,130
